country,alpha3code,pop,density,medianage,urbanpop,smokers,lung,gdp2019,healthexp,healthperpop,avgtemp,avghumidity,firstcase
Mauritius,MUS,"1,271,768",626.0,37.0,41.0,21.7,30.56,"14,391","1,099",864.1513232000001,28.2,79.25,3/17/2020
France,MYT,"272,815",728.0,20.0,46.0,,,3300,40,146.6195041,29.43333333,73.01666667,3/13/2020
Mexico,MEX,"128,932,753",66.0,29.0,84.0,13.7,27.85,"1,274,175","1,009",7.8257849660000005,26.93333333,42.4,2/27/2020
Moldova,MDA,"4,033,963",123.0,38.0,43.0,25.55,17.13,"11,688",515,127.66601969999999,10.5,64.61666667,3/6/2020
Monaco,MCO,"39,242",26337.0,54.0,100.0,,,"6,075","3,407",86820.24362000001,14.05,62.23333333,2/27/2020
Mongolia,MNG,"3,278,290",2.0,28.0,67.0,26.5,13.4,"13,637",470,143.3674263,-9.333333332999999,82.3,3/9/2020
Montenegro,MNE,"628,066",47.0,39.0,68.0,,17.6,"5,424",957,1523.725214,12.48333333,67.78333333,3/16/2020
Morocco,MAR,"36,910,560",83.0,30.0,64.0,23.4,10.39,"119,040",435,11.785245199999999,18.96666667,72.31666667,3/1/2020
Mozambique,MOZ,"31,255,435",40.0,17.6,38.3,18.65,17.81,"15,093",64,2.0476438740000003,,,3/21/2020
Namibia,NAM,"2,540,905",3.0,22.0,55.0,25.15,43.86,"14,368",942,370.7340495,27.25,49.68333333,3/13/2020
Nepal,NPL,"29,136,808",203.0,25.0,21.0,24.1,100.75,"29,813",151,5.182448263,18.85,66.63333333,1/23/2020
Netherlands,CUW,"164,093",370.0,41.6,88.7,,,"3,195",,,,,3/12/2020
Netherlands,SXM,,,,,,,"1,059",,,,,3/17/2020
Netherlands,NLD,"17,134,872",508.0,43.0,92.0,25.05,26.0,"902,355","5,313",310.0694303,8.983333333,78.13333333,2/26/2020
New Zealand,NZL,"4,822,233",18.0,38.0,87.0,,21.88,"204,671","3,530",732.0260137,18.7,79.25,2/27/2020
Nicaragua,NIC,"6,624,554",55.0,26.5,57.2,,22.37,"12,528",406,61.28714476,,,3/18/2020
